features,importance_score
balance_difference_60,0.263138856275307
balance_difference_90,0.25812365777082275
incoming_foreign_amount_30,0.13926952243562873
outgoing_domestic_amount_90,0.1064733784352887
outgoing_domestic_amount_60,0.09070201821693459
outgoing_foreign_amount_60,0.022631497547374202
outgoing_foreign_amount_90,0.020718120825210067
incoming_domestic_count_30,0.017857208551434182
incoming_foreign_amount_90,0.01687757390627997
outgoing_foreign_amount_30,0.014313833029041944
incoming_foreign_amount_60,0.013722671420527152
incoming_domestic_count_90,0.009360658901006855
outgoing_domestic_count_30,0.006613929089075739
incoming_domestic_count_60,0.005970618058923736
outgoing_domestic_amount_30,0.00263665014345674
outgoing_foreign_count_60,0.0024064879458101608
outgoing_domestic_count_90,0.0017632642535654473
incoming_foreign_count_60,0.001300900560438285
incoming_foreign_count_30,0.0011501445890127516
incoming_domestic_amount_90,0.0010355150945937082
outgoing_domestic_count_60,0.0010026504729948931
balance_difference_30,0.0008658029320014421
outgoing_foreign_count_30,0.0006000016477895904
outgoing_foreign_count_90,0.0005212746977072007
incoming_domestic_amount_60,0.000473861986128658
incoming_foreign_count_90,0.0004699012136454845
